Wall time,Step,Value
1569261680.7699385,5,42.1875
1569261681.0342312,18,59.375
1569261681.1479275,24,67.1875
1569261681.454109,40,75.0
1569261681.4994955,42,87.5
1569261681.5703065,45,89.0625
1569261681.7488284,53,84.375
1569261681.8196402,56,85.9375
1569261682.1796863,71,92.1875
1569261682.241521,74,85.9375
1569261682.699298,94,84.375
1569261686.937334,102,90.625
1569261687.012135,106,96.875
1569261687.3716822,126,92.1875
1569261687.6182728,139,90.625
1569261687.9713287,155,87.5
1569261688.0341609,158,93.75
1569261688.2346249,167,90.625
1569261688.4929345,178,96.875
1569261688.6126144,183,98.4375
1569261688.662482,185,93.75
1569261688.7801664,190,95.3125
1569261693.7061422,229,96.875
1569261693.8098643,234,90.625
1569261694.1579332,249,93.75
1569261694.2756188,255,96.875
1569261694.380339,260,93.75
1569261694.5399122,267,90.625
1569261694.6695657,273,95.3125
1569261695.1014113,292,93.75
1569261699.580489,308,95.3125
1569261699.6303554,310,98.4375
1569261699.821843,318,93.75
1569261700.1050856,330,96.875
1569261700.291587,339,96.875
1569261700.4551497,347,96.875
1569261700.7932463,363,92.1875
1569261700.8720353,367,95.3125
1569261706.079652,421,96.875
1569261706.1035872,422,95.3125
1569261706.4676135,439,100.0
1569261706.5394218,442,95.3125
1569261706.6152184,445,96.875
1569261706.9722645,460,93.75
1569261707.0350964,463,98.4375
1569261707.0540454,464,92.1875
1569261707.271464,474,95.3125
1569261707.6200402,491,96.875
1569261707.659934,493,96.875
1569261712.4659245,514,95.3125
1569261712.8750272,531,98.4375
1569261712.9887276,536,92.1875
1569261713.5731654,563,98.4375
1569261713.7716343,573,98.4375
1569261713.910264,579,98.4375
1569261713.9561408,581,95.3125
1569261714.0738268,586,89.0625
1569261714.0977623,587,95.3125
1569261718.7233808,602,98.4375
1569261719.1073537,620,95.3125
1569261719.1522334,622,98.4375
1569261719.393588,634,92.1875
1569261719.5611405,641,95.3125
1569261719.584079,642,96.875
1569261719.6319504,644,96.875
1569261719.7027614,647,92.1875
1569261719.7506335,649,96.875
1569261720.0428522,661,100.0
1569261720.2493002,671,95.3125
1569261720.471706,683,96.875
1569261720.5854015,688,100.0
1569261725.5974286,714,93.75
1569261725.6951675,718,96.875
1569261725.7729588,722,96.875
1569261725.8008845,723,95.3125
1569261725.951481,730,98.4375
1569261726.1469586,739,96.875
1569261726.2247508,743,98.4375
1569261726.3075297,747,92.1875
1569261726.424217,752,98.4375
1569261726.525945,756,98.4375
1569261726.729401,765,96.875
1569261726.8271396,769,95.3125
1569261726.8770065,771,95.3125
1569261726.9268737,773,100.0
1569261727.0824206,780,95.3125
1569261727.1831517,785,100.0
1569261727.2200527,787,96.875
1569261727.3177917,792,96.875
1569261727.3676581,794,100.0
1569261727.4534295,798,98.4375
1569261732.082052,802,95.3125
1569261732.2156916,808,98.4375
1569261732.2456124,809,96.875
1569261732.72134,832,96.875
1569261732.8101022,836,95.3125
1569261740.2816513,869,100.0
1569261740.433246,876,98.4375
1569261740.5798557,882,98.4375
1569261740.9089746,896,96.875
1569261741.0087082,900,96.875
1569261741.164292,907,96.875
1569261741.2081747,909,96.875
1569261741.3487983,915,96.875
1569261741.376724,917,93.75
1569261741.6759238,931,96.875
1569261741.7008567,932,98.4375
1569261741.948195,942,98.4375
1569261746.1920354,945,90.625
1569261746.370557,954,100.0
1569261746.453336,958,95.3125
1569261746.5311282,962,98.4375
1569261746.7485478,971,100.0
1569261746.7744775,972,95.3125
1569261746.9210851,978,95.3125
1569261746.945021,979,96.875
1569261747.0617101,984,96.875
1569261747.31204,996,98.4375
1569261747.4396982,1002,100.0
1569261747.500536,1005,98.4375
1569261747.7249663,1014,95.3125
1569261748.4430468,1044,98.4375
1569261753.4667473,1057,98.4375
1569261753.5894191,1063,100.0
