Wall time,Step,Value
1569261680.6860385,1,9.916666984558105
1569261686.910406,101,93.01667022705078
1569261693.10475,201,95.4000015258789
1569261699.4308922,301,96.38333129882812
1569261705.6597748,401,97.13333129882812
1569261712.1517642,501,97.36666870117188
1569261718.696452,601,97.91666412353516
1569261725.2922447,701,98.05000305175781
1569261732.0570416,801,98.1500015258789
1569261739.7485683,845,98.30000305175781
1569261746.1770742,945,98.21666717529297
1569261753.2114298,1045,98.3499984741211
1569261760.042193,1145,98.43333435058594
1569261766.6298826,1245,98.48332977294922
1569261773.437307,1345,98.44999694824219
1569261780.1950946,1445,98.38333129882812
1569261786.957604,1545,98.48332977294922
1569261793.6650176,1645,98.69999694824219
1569261801.5593038,1689,98.71666717529297
1569261808.2221193,1789,98.55000305175781
1569261814.9042213,1889,98.76667022705078
1569261821.755107,1989,98.66666412353516
1569261828.373867,2089,98.58333587646484
1569261835.1047375,2189,98.69999694824219
1569261842.0412755,2289,98.83333587646484
1569261848.7117507,2389,98.80000305175781
1569261855.4392147,2489,98.83333587646484
1569261863.6021235,2533,98.91666412353516
1569261870.6009402,2633,98.81666564941406
1569261877.3413262,2733,98.86666870117188
1569261884.0530267,2833,98.91666412353516
1569261890.7894304,2933,98.9000015258789
1569261897.6537514,3033,98.96666717529297
1569261904.377866,3133,98.8499984741211
1569261911.0507724,3233,98.98332977294922
1569261918.0442736,3333,98.94999694824219
1569261926.355918,3377,98.80000305175781
1569261933.1247818,3477,98.96666717529297
1569261939.8151853,3577,98.96666717529297
1569261946.816419,3677,99.0
1569261953.60351,3777,98.93333435058594
1569261960.6090567,3877,98.91666412353516
1569261967.4333346,3977,98.98332977294922
1569261974.1723173,4077,99.0
1569261980.907108,4177,99.0
1569261989.129881,4221,98.93333435058594
1569261995.8952556,4321,98.9000015258789
1569262002.476091,4421,98.94999694824219
1569262009.0853026,4521,99.05000305175781
1569262015.9994092,4621,99.0
1569262022.881109,4721,98.96666717529297
1569262029.5689588,4821,98.88333129882812
1569262036.3990629,4921,98.96666717529297
1569262043.0978413,5021,98.94999694824219
1569262051.0204763,5065,99.05000305175781
1569262057.7895873,5165,98.93333435058594
1569262065.0866861,5265,98.98332977294922
1569262072.417024,5365,99.0
1569262079.7093682,5465,99.06666564941406
1569262090.4132586,5565,99.13333129882812
1569262097.71706,5665,99.06666564941406
1569262104.9161246,5765,99.08333587646484
1569262111.9156358,5865,99.0
1569262120.4863086,5909,98.94999694824219
1569262127.4262729,6009,99.06666564941406
1569262134.537052,6109,99.0999984741211
1569262141.635204,6209,99.08333587646484
1569262148.8347485,6309,99.08333587646484
1569262156.070968,6409,99.1500015258789
1569262162.9903464,6509,99.03333282470703
1569262170.0737863,6609,98.91666412353516
1569262177.3501916,6709,99.05000305175781
1569262185.9634306,6753,99.0
1569262193.5064085,6853,99.03333282470703
1569262200.5374649,6953,98.96666717529297
1569262207.483939,7053,99.06666564941406
1569262214.9968092,7153,98.96666717529297
1569262222.2326236,7253,99.01667022705078
1569262229.1342666,7353,99.0999984741211
1569262236.1803477,7453,99.03333282470703
1569262243.326891,7553,98.94999694824219
1569262251.6996293,7597,99.01667022705078
1569262258.7743511,7697,98.98332977294922
1569262266.3697166,7797,99.08333587646484
1569262273.8232324,7897,99.0
1569262280.7298021,7997,99.0999984741211
1569262287.6748376,8097,99.0
1569262294.829997,8197,99.13333129882812
1569262302.2131348,8297,99.01667022705078
1569262309.2130578,8397,98.98332977294922
